VOTI 33° GIORNATA CAMPIONATO 2013-2014,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COM i voti alle prime luci dell'alba,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
ATALANTA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
12,P,CONSIGLI,"6,01",0,3,0,0,0,0,0,0,0,0,0,0
6,D,BRIVIO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
21,D,LUCCHINI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
29,D,STENDARDO,"4,5",0,0,0,0,0,0,1,0,0,0,0,0
31,D,YEPES,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
347,D,BENALOUANE,"6,02",0,0,0,0,0,0,0,0,1,0,0,0
2,C,BASELLI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
4,C,BONAVENTURA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
11,C,CIGARINI,"6,01",0,0,0,0,0,0,1,0,0,0,0,0
23,C,MIGLIACCIO,"6,03",1,0,0,0,0,0,0,0,0,0,0,0
640,C,ESTIGARRIBIA,"5,52",0,0,0,0,0,0,1,0,0,0,0,0
14,A,DE LUCA,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
16,A,DENIS,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
20,A,LIVAJA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
616,ALL,COLANTUONO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
BOLOGNA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
40,P,CURCI,"6,02",0,1,0,0,0,0,0,0,0,0,0,0
36,D,ANTONSSON,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
38,D,CHERUBIN,"7,04",1,0,0,0,0,0,0,0,0,0,0,0
43,D,GARICS,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
46,D,MORLEO,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
48,D,NATALI,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
639,D,MANTOVANI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
39,C,CHRISTODOULOPOULOS,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
44,C,KONE P.,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
49,C,PAZIENZA,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
597,C,PEREZ,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
708,C,FRIBERG,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
33,A,ACQUAFRESCA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
647,A,CRISTALDO,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
682,ALL,BALLARDINI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
CAGLIARI,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
61,P,AVRAMOV,6,0,1,0,0,0,0,0,0,0,0,0,0
59,D,ASTORI,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
60,D,AVELAR,6,0,0,0,0,0,0,0,0,0,0,0,0
71,D,MURRU,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
77,D,PISANO,"5,5",0,0,0,0,0,0,1,0,0,0,0,0
78,D,ROSSETTINI,6,0,0,0,0,0,0,1,0,0,0,0,0
64,C,CONTI,"6,5",0,0,0,0,0,0,0,0,0,0,0,0
65,C,COSSU,6*,0,0,0,0,0,0,0,0,0,0,0,0
67,C,DESSENA,"6,5",0,0,0,0,0,0,0,0,0,0,0,0
69,C,ERIKSSON,6,0,0,0,0,0,0,0,0,0,0,0,0
655,C,IBRAIMI,"6,5",0,0,0,0,1,0,0,0,0,0,0,1
701,C,TABANELLI,6*,0,0,0,0,0,0,0,0,0,0,0,0
70,A,IBARBO,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
80,A,SAU,5,0,0,0,0,0,0,0,0,0,0,0,0
737,ALL,PULGA,6,0,0,0,0,0,0,0,0,0,0,0,0
CATANIA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
83,P,ANDUJAR,"5,01",0,1,0,0,0,0,0,0,0,0,0,0
93,D,GYOMBER,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
101,D,MONZON,"5,5",0,0,0,0,0,0,1,0,0,0,0,0
102,D,ROLIN,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
103,D,SPOLLI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
84,C,BARRIENTOS,"6,01",0,0,0,0,0,0,1,0,0,0,0,0
89,C,CASTRO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
94,C,IZCO,6*,0,0,0,0,0,0,0,0,0,0,0,0
173,C,LODI,"6,03",0,0,0,0,0,0,0,0,0,0,0,0
651,C,PLASIL,"5,51",0,0,0,0,0,0,1,0,0,0,0,0
684,C,RINAUDO F,"5,01",0,0,0,0,0,0,0,1,0,0,0,0
86,A,BERGESSIO,"5,01",0,0,0,0,0,0,0,0,0,0,0,0
97,A,LETO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
602,A,BOATENG KI.,6*,0,0,0,0,0,0,0,0,0,0,0,0
736,ALL,PELLEGRINO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
CHIEVO,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
57,P,AGAZZI,"6,02",0,2,0,0,0,0,0,0,0,0,0,0
107,D,CESAR,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
108,D,DAINELLI,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
111,D,FREY,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
125,D,SARDO,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
660,D,RUBIN,"6,02",0,0,0,0,0,0,0,0,1,0,0,0
112,C,GUANA,"6,52",0,0,0,0,0,0,1,0,0,0,0,0
113,C,HETEMAJ,"6,53",0,0,0,0,0,0,1,0,1,0,0,0
121,C,RADOVANOVIC,"6,52",0,0,0,0,0,0,1,0,0,0,0,0
122,C,RIGONI L.,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
116,A,PALOSCHI,"8,04",2,0,0,0,1,0,0,0,1,0,1,0
119,A,PELLISSIER,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
130,A,THEREAU,"6,53",1,0,0,0,0,0,1,0,0,0,0,0
716,A,OBINNA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
672,ALL,CORINI,"7,04",0,0,0,0,0,0,0,0,0,0,0,0
FIORENTINA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
